empresa,ruta,codigo_servicio,kmz,url_oficial,rq_ida_km,rq_ida_min,rq_regreso_km,rq_regreso_min,advertencia
LA-CAROLINA,D7-4151,D7,LA-CAROLINA/D7-4151.kmz,https://www.ambq.gov.co/ruta-de-buses/LA-CAROLINA/D7-4151.kmz,,,,,
LOLAYA,B10-4126,B10,LOLAYA/B10-4126.kmz,https://www.ambq.gov.co/ruta-de-buses/LOLAYA/B10-4126.kmz,,,,,
LOLAYA,B10-B-4193,B10-B,LOLAYA/B10-B-4193.kmz,https://www.ambq.gov.co/ruta-de-buses/LOLAYA/B10-B-4193.kmz,,,,,
LOLAYA,D8-4165,D8,LOLAYA/D8-4165.kmz,https://www.ambq.gov.co/ruta-de-buses/LOLAYA/D8-4165.kmz,45.57,183,45.57,183,
MONTERREY,B8-4124,B8,MONTERREY/B8-4124.kmz,https://www.ambq.gov.co/ruta-de-buses/MONTERREY/B8-4124.kmz,,,,,
MONTERREY,B11-4166,B11,MONTERREY/B11-4166.kmz,https://www.ambq.gov.co/ruta-de-buses/MONTERREY/B11-4166.kmz,,,,,
MONTERREY,B11-B-4192,B11-B,MONTERREY/B11-B-4192.kmz,https://www.ambq.gov.co/ruta-de-buses/MONTERREY/B11-B-4192.kmz,,,,,
MONTERREY,B12-4127,B12,MONTERREY/B12-4127.kmz,https://www.ambq.gov.co/ruta-de-buses/MONTERREY/B12-4127.kmz,,,,,
SOBUSA,B18-4175 A,B18,SOBUSA/B18-4175 A.kmz,https://www.ambq.gov.co/ruta-de-buses/SOBUSA/B18-4175%20A.kmz,,,,,
SOBUSA,B18-4175 B,B18,SOBUSA/B18-4175 B.kmz,https://www.ambq.gov.co/ruta-de-buses/SOBUSA/B18-4175%20B.kmz,,,,,
SOBUSA,C11-4168,C11,SOBUSA/C11-4168.kmz,https://www.ambq.gov.co/ruta-de-buses/SOBUSA/C11-4168.kmz,,,,,
